,Year,Stars,Position,Name,Class,Previous School,New School,RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
354,2019,2,SG,Robert Lewis,RS N/A,Texas Southern,Cal Poly Humboldt,297,Texas Southern,SWAC,31,16,98.4,109.8,0.2216,45.9,50.3,21,19.6,31.8,30.4,41.1,34.3,45.9,49.2,30.5,34.9,72.7,-8.9
355,2018,2,PG,Jerry Perry,RS N/A,Texas Southern,Texas–Permian Basin,297,Texas Southern,SWAC,31,16,98.4,109.8,0.2216,45.9,50.3,21,19.6,31.8,30.4,41.1,34.3,45.9,49.2,30.5,34.9,72.7,-8.9
356,2018,3.5,PF,Maciej Bender,RS SR,West Virginia,Mercer,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
357,2019,3.3,PG,James 'Beetle' Bolden,RS N/A,West Virginia,Alabama,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
358,2019,3,SG,Trey Doomes,JR,West Virginia,Chattanooga,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
359,2018,2,SG,Teddy Allen,RS JR,West Virginia,Wichita State,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
360,2018,2,SG,D'Angelo Hunter,RS N/A,West Virginia,Nicholls State,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
361,2019,2,PF,Lamont West,RS N/A,West Virginia,Missouri State,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
362,2019,2,PG,Taevon Horton,JR,West Virginia,Missouri State University–West Plains,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
363,2019,2,PF,Andrew Gordon,RS SR,West Virginia,Louisiana Tech,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
364,2019,2,SF,Wesley Harris,RS N/A,West Virginia,Tennessee State,16,West Virginia,B12,31,21,107.4,88.6,0.901,46.5,44.6,20.7,22.4,40.1,27.6,40.5,37.1,48,45.4,28.6,28.8,69.3,3.3
365,2018,3.5,C,Djery Baptiste,RS N/A,Vanderbilt,Massachusetts,156,Vanderbilt,SEC,32,11,104.6,103.4,0.5332,50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,50.3,52.7,33.3,35.1,69.4,-10
366,2019,3.3,SF,Matt Ryan,RS N/A,Vanderbilt,Chattanooga,156,Vanderbilt,SEC,32,11,104.6,103.4,0.5332,50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,50.3,52.7,33.3,35.1,69.4,-10
367,2018,3,PG,"Larry Austin, Jr.",RS N/A,Vanderbilt,Central Michigan,156,Vanderbilt,SEC,32,11,104.6,103.4,0.5332,50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,50.3,52.7,33.3,35.1,69.4,-10
368,2018,3,SG,Payton Willis,RS SR,Vanderbilt,Minnesota,156,Vanderbilt,SEC,32,11,104.6,103.4,0.5332,50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,50.3,52.7,33.3,35.1,69.4,-10
369,2019,2,C,Yanni Wetzell,RS N/A,Vanderbilt,San Diego State,156,Vanderbilt,SEC,32,11,104.6,103.4,0.5332,50.2,52.7,18.4,19.6,25.4,29.4,41.4,36.8,50.3,52.7,33.3,35.1,69.4,-10
370,2019,3.5,SF,"Andre Rafus, Jr.",RS SO,Eastern Michigan,,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
371,2018,3,SF,Terry Harris,RS N/A,Eastern Michigan,North Carolina A&T,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
372,2019,2,PG,Malik Ellison,SR,Eastern Michigan,Saginaw Valley State,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
373,2018,2,PF,Jordan Nobles,RS N/A,Eastern Michigan,Oakland,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
374,2019,2,C,Quinterious 'Bud' Jones,SR,Eastern Michigan,St. Thomas University,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
375,2019,2,SF,Daivon Stephens,JR,Eastern Michigan,Tallahassee Community College,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
376,2019,2,SG,Tariq Silver,RS JR,Eastern Michigan,Tallahassee Community College,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
377,2019,2,PG,Kevin McAdoo,RS JR,Eastern Michigan,Bradley,194,Eastern Michigan,MAC,28,16,94.8,96.7,0.4436,46.3,49.5,21.7,23.1,25.4,30.5,42.5,30.9,50.1,47.9,26.7,34.2,66.7,-9.1
378,2018,3.5,PF,Jaron Faulds,RS JR,Columbia,Michigan,287,Columbia,Ivy,29,6,95.7,105.8,0.2392,46.1,52.3,15.9,16.3,20.1,25.1,22.5,25.7,46.9,53.9,29.8,33.3,69.2,-17.4
379,2019,2.5,PG,C.J. Davis,RS N/A,Columbia,,287,Columbia,Ivy,29,6,95.7,105.8,0.2392,46.1,52.3,15.9,16.3,20.1,25.1,22.5,25.7,46.9,53.9,29.8,33.3,69.2,-17.4
380,2019,2,PG,Quinton Adlesh,RS N/A,Columbia,USC,287,Columbia,Ivy,29,6,95.7,105.8,0.2392,46.1,52.3,15.9,16.3,20.1,25.1,22.5,25.7,46.9,53.9,29.8,33.3,69.2,-17.4
381,2018,2,PF,Myles Hanson,RS JR,Columbia,Xavier,287,Columbia,Ivy,29,6,95.7,105.8,0.2392,46.1,52.3,15.9,16.3,20.1,25.1,22.5,25.7,46.9,53.9,29.8,33.3,69.2,-17.4
382,2018,2,SG,Kyle Castlin,RS N/A,Columbia,Xavier,287,Columbia,Ivy,29,6,95.7,105.8,0.2392,46.1,52.3,15.9,16.3,20.1,25.1,22.5,25.7,46.9,53.9,29.8,33.3,69.2,-17.4
383,2019,3.3,SF,"Kevin Easley, Jr.",RS SO,Chattanooga,TCU,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
384,2018,2,SG,Jonathan Bryant II,SR,Chattanooga,Tyler Junior College,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
385,2018,2,SG,Nat Dixon,RS N/A,Chattanooga,SMU,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
386,2019,2,PG,Donovann Toatley,RS SO,Chattanooga,Monmouth,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
387,2019,2,PF,Keigan Kerby,JR,Chattanooga,Chattanooga State Community College,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
388,2018,2,PF,"James Lewis, Jr.",RS JR,Chattanooga,Appalachian State,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
389,2018,2,PG,Makale Foreman,RS SR,Chattanooga,Stony Brook,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
390,2018,2,PG,Rodney Chatman,RS SR,Chattanooga,Dayton,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
391,2019,2,SF,Duane Moss,RS JR,Chattanooga,Campbell,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
392,2019,2,SG,"Jerry Johnson, Jr.",RS N/A,Chattanooga,Arkansas State,139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
393,2018,3.3,C,Quadri Moore,RS N/A,Cincinnati,,47,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2
394,2019,3,C,Nysier Brooks,RS SR,Cincinnati,Miami,47,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2
395,2019,2.5,PG,Logan Johnson,JR,Cincinnati,Saint Mary's,47,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2
396,2019,2,SG,Rashawn Fredericks,RS SR,Cincinnati,UAB,47,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2
397,2019,2,C,Eliel Nsoseme,RS JR,Cincinnati,Georgia State,47,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2
398,2019,2,PF,LaQuill Hardnett,RS SO,Cincinnati,Buffalo,47,Cincinnati,Amer,30,20,108.6,94.8,0.826,50.3,45.7,20.2,19.7,32,28.6,39.6,29.2,51.7,43.1,31.9,33.7,68.1,0.2
399,2018,3.3,PG,Colin Slater,RS SR,Tulane,Long Beach State,178,Tulane,Amer,30,12,101.5,102.2,0.4781,47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,46.3,54,33.4,34,68.6,-9.1
400,2019,3,PF,Moses Wood,RS SO,Tulane,UNLV,178,Tulane,Amer,30,12,101.5,102.2,0.4781,47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,46.3,54,33.4,34,68.6,-9.1
401,2019,2,PG,Caleb Daniels,RS JR,Tulane,Villanova,178,Tulane,Amer,30,12,101.5,102.2,0.4781,47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,46.3,54,33.4,34,68.6,-9.1
402,2019,2,SG,Connor Crabtree,RS SO,Tulane,Richmond,178,Tulane,Amer,30,12,101.5,102.2,0.4781,47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,46.3,54,33.4,34,68.6,-9.1
403,2019,2,SG,Shakwon Barrett,RS JR,Tulane,Northwest Florida State College,178,Tulane,Amer,30,12,101.5,102.2,0.4781,47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,46.3,54,33.4,34,68.6,-9.1
404,2018,2,PF,Sammis Reyes,RS N/A,Tulane,Loyola University New Orleans,178,Tulane,Amer,30,12,101.5,102.2,0.4781,47.8,52.7,16.9,23,22.2,31.2,34.2,29.6,46.3,54,33.4,34,68.6,-9.1
405,2019,3.3,SF,Trace Young,JR,Wyoming,John A. Logan College,238,Wyoming,MWC,32,9,94,100,0.3304,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,66.3,-14.9
406,2018,3.3,PF,Brodricks Jones,RS N/A,Wyoming,Georgetown College,238,Wyoming,MWC,32,9,94,100,0.3304,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,66.3,-14.9
407,2018,3,SG,Anthony Mack,RS JR,Wyoming,Miami,238,Wyoming,MWC,32,9,94,100,0.3304,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,66.3,-14.9
408,2018,2,SG,Cody Kelley,RS N/A,Wyoming,South Dakota,238,Wyoming,MWC,32,9,94,100,0.3304,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,66.3,-14.9
409,2018,2,PF,Andrew Moemeka,RS N/A,Wyoming,Palm Beach Atlantic,238,Wyoming,MWC,32,9,94,100,0.3304,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,66.3,-14.9
410,2018,2,SG,Sam Averbuck,RS N/A,Wyoming,Dominican (CA),238,Wyoming,MWC,32,9,94,100,0.3304,48,50.1,18.6,18.9,14.2,28.6,30.5,36.8,48.3,50.4,31.8,33.1,66.3,-14.9
411,2019,3.3,PG,Eric Hester,RS JR,Akron,Tallahassee Community College,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
412,2019,2.5,C,Khadim Gueye,RS SR,Akron,Tampa,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
413,2019,2,PF,Emmanuel Olojakpoke,RS N/A,Akron,Utah Valley,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
414,2019,2,SF,Daniel Utomi,RS N/A,Akron,USC,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
415,2019,2,C,Mark Kostelac,RS JR,Akron,Walsh,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
416,2018,2,PG,Virshon Cotton,RS JR,Akron,LIU,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
417,2018,2,PG,Torrey Patton,SR,Akron,Indian Hills Community College,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
418,2018,2,SF,Eric Parrish,RS JR,Akron,Bossier Parish Community College,83,Akron,MAC,29,24,107.9,98.8,0.7343,51.7,45.9,17.9,18.4,27.4,29.2,35.5,29.1,49.6,45.2,36.2,31.5,69.4,-1
419,2019,3.3,SG,Chance McSpadden,RS N/A,UCF,Stetson,106,UCF,Amer,30,16,104.2,98.2,0.6661,49.4,47.8,19.9,20.6,28.8,30.5,30.9,29.4,49.9,48,32.3,31.7,67.8,-5.3
420,2018,3,SG,Danny Lewis,RS JR,UCF,Kennesaw State,106,UCF,Amer,30,16,104.2,98.2,0.6661,49.4,47.8,19.9,20.6,28.8,30.5,30.9,29.4,49.9,48,32.3,31.7,67.8,-5.3
421,2019,3,SF,Myles Douglas,RS JR,UCF,Saint Joseph's,106,UCF,Amer,30,16,104.2,98.2,0.6661,49.4,47.8,19.9,20.6,28.8,30.5,30.9,29.4,49.9,48,32.3,31.7,67.8,-5.3
422,2019,2,PG,Terrell Allen,RS N/A,UCF,Georgetown,106,UCF,Amer,30,16,104.2,98.2,0.6661,49.4,47.8,19.9,20.6,28.8,30.5,30.9,29.4,49.9,48,32.3,31.7,67.8,-5.3
423,2019,3.3,PF,Alex Illikainen,RS N/A,Wisconsin,Minnesota–Duluth,19,Wisconsin,B10,31,21,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2
424,2019,3,C,Taylor Currie,RS SO,Wisconsin,Mott Community College,19,Wisconsin,B10,31,21,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2
425,2019,3,PG,Tai Strickland,RS SO,Wisconsin,Temple,19,Wisconsin,B10,31,21,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2
426,2018,2,PF,Andy Van Vliet,RS N/A,Wisconsin,William & Mary,19,Wisconsin,B10,31,21,110.9,92,0.8952,50.3,46.4,15.4,16.9,24.1,25.9,26.9,25.3,48.3,44.9,35.2,33.1,63.5,4.2
427,2019,3.3,PG,Justice Kithcart,RS SR,Old Dominion,Winston-Salem State,165,Old Dominion,CUSA,32,13,98.6,98,0.5177,45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,46,46,29.3,33.8,66.4,-11.4
428,2018,3,SG,"Michael Hueitt, Jr.",RS JR,Old Dominion,UNCG,165,Old Dominion,CUSA,32,13,98.6,98,0.5177,45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,46,46,29.3,33.8,66.4,-11.4
429,2018,2.3,PF,Alassane Kah,RS N/A,Old Dominion,West Florida,165,Old Dominion,CUSA,32,13,98.6,98,0.5177,45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,46,46,29.3,33.8,66.4,-11.4
430,2018,2,PF,Trey Porter,RS N/A,Old Dominion,Nevada,165,Old Dominion,CUSA,32,13,98.6,98,0.5177,45.3,48.1,18.1,18.5,30.8,21.7,28.8,34,46,46,29.3,33.8,66.4,-11.4
431,2019,3.3,SF,LaDarius Marshall,JR,Southern Miss,Hinds Community College,257,Southern Miss,CUSA,28,9,95.4,102.9,0.2956,47.8,51.3,22.1,17.6,26.7,26.4,23.5,33,49.1,52.3,29.9,33.5,67,-14.4
432,2019,2,SG,Shakur Daniel,JR,Southern Miss,Ranger College,257,Southern Miss,CUSA,28,9,95.4,102.9,0.2956,47.8,51.3,22.1,17.6,26.7,26.4,23.5,33,49.1,52.3,29.9,33.5,67,-14.4
433,2018,2,PF,Eddie Davis III,RS SR,Southern Miss,Hartford,257,Southern Miss,CUSA,28,9,95.4,102.9,0.2956,47.8,51.3,22.1,17.6,26.7,26.4,23.5,33,49.1,52.3,29.9,33.5,67,-14.4
434,2019,3.3,PF,Christian Negron,SR,Loyola Chicago,Grand Valley State,94,Loyola Chicago,MVC,31,21,103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36,36.9,65.3,-4.2
435,2018,2.7,SG,Cameron Satterwhite,RS SR,Loyola Chicago,Northern Arizona,94,Loyola Chicago,MVC,31,21,103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36,36.9,65.3,-4.2
436,2019,2,PG,Isaiah Bujdoso,RS SO,Loyola Chicago,McMaster University,94,Loyola Chicago,MVC,31,21,103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36,36.9,65.3,-4.2
437,2018,2,SG,Adarius Avery,,Loyola Chicago,Central Oklahoma,94,Loyola Chicago,MVC,31,21,103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36,36.9,65.3,-4.2
438,2018,2,SG,Tyson Smith,RS N/A,Loyola Chicago,Texas–Rio Grande Valley,94,Loyola Chicago,MVC,31,21,103.8,96.3,0.7031,54.9,52.2,19.4,23.6,21.3,23.6,38.9,23.5,55.3,49.8,36,36.9,65.3,-4.2
439,2018,3.3,PF,Omar Sherman,RS N/A,Louisiana Tech,William Penn University,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
440,2018,2.5,PG,Jalen Harris,RS SR,Louisiana Tech,Nevada,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
441,2019,2,SG,Ra'Shawn Langston,RS SR,Louisiana Tech,McNeese State,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
442,2019,2,SF,Anthony Duruji,RS JR,Louisiana Tech,Florida,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
443,2018,2,SG,Jeremiah Taylor,RS SR,Louisiana Tech,,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
444,2018,2,SF,Jy'lan Washington,RS N/A,Louisiana Tech,Tennessee State,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
445,2018,2,PF,Harrison Curry,RS SR,Louisiana Tech,Detroit Mercy,72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
446,2019,3.3,SG,LuWane Pipkins,RS N/A,Massachusetts,Providence,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
447,2019,3,SF,Jonathan Laurent,RS N/A,Massachusetts,Oklahoma State,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
448,2019,3,SG,Curtis Cobb III,RS N/A,Massachusetts,Wagner,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
449,2018,3,PF,Chris Baldwin,RS SR,Massachusetts,Texas Southern,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
450,2019,3,SG,Unique McLean,RS SR,Massachusetts,St. Francis Brooklyn,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
451,2018,3,C,Malik Hines,RS N/A,Massachusetts,McNeese State,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
452,2019,2,PG,Jaylen Franklin,RS SR,Massachusetts,The College of Wooster,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
453,2019,2,SG,Kieran Hayward,RS SR,Massachusetts,Vanguard University of Southern California,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
454,2019,2,PG,Tre' Wood,RS SO,Massachusetts,LIU,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
455,2018,2,PG,Rayshawn Miller,,Massachusetts,Albany,172,Massachusetts,A10,31,14,102,101.9,0.5004,49.2,51,18.8,20.3,25.8,30.3,29.9,33.5,49.1,51.7,32.9,33,68.7,-7.3
456,2019,3.3,SG,Camron Justice,RS N/A,IUPUI,Western Kentucky,336,IUPUI,Horz,30,7,98.9,116.7,0.1297,47.9,54.4,18.8,17.1,28.7,33.5,32.2,29.5,46.2,53,33.7,37.8,70.6,-19.3
457,2019,2.3,PG,Nick Rogers,RS N/A,IUPUI,Marian University,336,IUPUI,Horz,30,7,98.9,116.7,0.1297,47.9,54.4,18.8,17.1,28.7,33.5,32.2,29.5,46.2,53,33.7,37.8,70.6,-19.3
458,2018,2.3,SF,Mike Sagay,RS SR,IUPUI,University of Saint Joseph,336,IUPUI,Horz,30,7,98.9,116.7,0.1297,47.9,54.4,18.8,17.1,28.7,33.5,32.2,29.5,46.2,53,33.7,37.8,70.6,-19.3
459,2018,2,PG,T.J. Henderson,,IUPUI,Marian University,336,IUPUI,Horz,30,7,98.9,116.7,0.1297,47.9,54.4,18.8,17.1,28.7,33.5,32.2,29.5,46.2,53,33.7,37.8,70.6,-19.3
460,2019,2,PG,Calvin Temple,SO,IUPUI,Louisiana,336,IUPUI,Horz,30,7,98.9,116.7,0.1297,47.9,54.4,18.8,17.1,28.7,33.5,32.2,29.5,46.2,53,33.7,37.8,70.6,-19.3
461,2019,3.3,PF,Sean Mobley,RS JR,VCU,UCF,66,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,69.2,-3.6
462,2018,3,PG,Tyler Maye,SR,VCU,Southeastern Community College,66,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,69.2,-3.6
463,2018,2,C,Lewis Djonkam,RS JR,VCU,Radford,66,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,69.2,-3.6
464,2019,2,PG,Dylan Sheehy-Guiseppi,SR,VCU,Bethel University,66,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,69.2,-3.6
465,2019,2,PG,P.J. Byrd,JR,VCU,Colorado State,66,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,69.2,-3.6
466,2019,3,PF,Bryan Assie,RS SR,Southern,,231,Southern,SWAC,30,17,97,102.5,0.3466,47.9,48.7,20.3,19.7,31.6,25.3,34.5,48.8,48.3,49.1,31.3,31.8,66.6,-10.4
467,2019,2,SG,Marcel Burton,,Southern,Lincoln (MO),231,Southern,SWAC,30,17,97,102.5,0.3466,47.9,48.7,20.3,19.7,31.6,25.3,34.5,48.8,48.3,49.1,31.3,31.8,66.6,-10.4
